date,text,grid,template,src
,"<div class=""DC-embed DC-embed-page"" data-version=""1.1"">  <div style=""font-size:10pt;line-height:14pt;"">    Page 1 of <a class=""DC-embed-resource"" href=""https://www.documentcloud.org/documents/3224093-20151215-Indictment-for-Jason-Van-Dyke.html#document/p1"" title=""View entire 20151215 Indictment for Jason Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">20151215 Indictment for Jason Van Dyke</a>  </div>  <img src=""//assets.documentcloud.org/documents/3224093/pages/20151215-Indictment-for-Jason-Van-Dyke-p1-normal.gif?1479838473"" srcset=""//assets.documentcloud.org/documents/3224093/pages/20151215-Indictment-for-Jason-Van-Dyke-p1-normal.gif?1479838473 700w, //assets.documentcloud.org/documents/3224093/pages/20151215-Indictment-for-Jason-Van-Dyke-p1-large.gif?1479838473 1000w"" alt=""Page 1 of 20151215 Indictment for Jason Van Dyke"" style=""max-width:100%;height:auto;margin:0.5em 0;border:1px solid #ccc;-webkit-box-sizing:border-box;box-sizing:border-box;clear:both"">  <div style=""font-size:8pt;line-height:12pt;text-align:center"">    Contributed to    <a href=""https://www.documentcloud.org/"" title=""Go to DocumentCloud in new window or tab"" target=""_blank"" style=""font-weight:700;font-family:Gotham,inherit,sans-serif;color:inherit;text-decoration:none"">DocumentCloud</a> by    <a href=""https://www.documentcloud.org/public/search/Account:9732-chris-hagan"" title=""View documents contributed to DocumentCloud by Chris Hagan in new window or tab"" target=""_blank"">Chris Hagan</a> of    <a href=""https://www.documentcloud.org/public/search/Group:wbez"" title=""View documents contributed to DocumentCloud by WBEZ in new window or tab"" target=""_blank"">WBEZ</a> &bull;    <a href=""https://www.documentcloud.org/documents/3224093-20151215-Indictment-for-Jason-Van-Dyke.html#document/p1"" title=""View entire 20151215 Indictment for Jason Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">View document</a> or    <a href=""https://www.documentcloud.org/documents/3224093/pages/20151215-Indictment-for-Jason-Van-Dyke-p1.txt"" title=""Read the text of page 1 of 20151215 Indictment for Jason Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">read text</a>  </div></div><script src=""//assets.documentcloud.org/embed/loader/enhance.js""></script>",,document,
,WBEZ: Aldermen Finally Have Questions on Police Accountability at Marathon ….,,link,https://www.wbez.org/shows/wbez-news/aldermen-finally-have-questions-on-police-accountability-at-marathon-city-council-meeting/a2e628d4-55e8-4129-bd69-9ac10d0d9e2c
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image06.jpg
,"Police Officer Jason Van Dyke, right, leaves the courtroom after a hearing, with his attorney, Daniel Herbert, at the Leighton Criminal Court Building in Chicago on Dec. 18, 2015. (Zbigniew Bzdak/Chicago Tribune via AP, Pool)",,caption,
"Dec. 26, 2015",,,date,
,"<li>  The first fatal police shooting since the release of the McDonald video occured in West Garfield Park, where an officer shot 19-year-old Quintonio LeGrier and a neighbor, 55-year-old Bettie Jones, whose death was later called an accident by the police department. </li><li>  All officers involved in the shooting were placed on administrative duties for 30 days, marking a policy change from three days off active duty. </li>",,list,
"Dec. 29, 2015",,,date,
,<li>  Van Dyke pleaded not guilty to all the charges against him. </li>,,list,
,NPR: Small Group Of Activists Protest At Mayor Rahm Emanuel’s House,,link,http://www.npr.org/sections/thetwo-way/2015/12/29/461437680/small-group-of-activists-protest-at-mayor-rahm-emanuels-house
"Dec. 31, 2015",,,date,
,"<li>  The Emanuel administration released <a href=""https://www.wbez.org/shows/wbez-news/chicago-releases-hundreds-of-emails-in-fatal-police-shooting/bb202257-7cbf-4c11-a361-8750a480879e""> thousands of pages of internal emails </a> that showed IPRA and the mayor’s office were in close communication about the McDonald shooting despite the agency’s purported independence. </li>",,list,
